Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2433,-2523,-751.986,-2179,-1314
Purchases of investments,-,-,-519.591,-,-
Sales/Maturities of investments,-,334.719,-,-,-
Other investing activites,-,928.77,-,-,-
Net cash used for investing activites,-1139,-1260,-1272,-2179,-1314
Common stock issued,15650,15650,20242,12779,13220
Common stock repurchased,-,-,-,-,-736.145
Other financing activites,-,-572.565,-871.698,-904.808,-
Net cash used privided by (used for) financing activities,14945,15077,19370,11874,12484
Net change in cash,2464,3940,12325,7306,9676
Cash at beginning of period,24421,30073,17748,10443,766.432
Cash at end of period,26885,34013,30073,17748,10443
Capital Expenditure,-2433,-2523,-751.986,-2179,-1314
Free Cash Flow,-13775,-12400,-6526,-4569,-2808
