Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-996.2118,-996.2118,-520.2664
Net cash used for investing activites,-996.2118,-996.2118,-520.2664
Debt repayment,-103.2515,-103.2515,-94.5055
Common stock issued,5835,5835,6278
Net cash used privided by (used for) financing activities,5732,5732,7872
Net change in cash,-853.1173,-853.1173,3454
Cash at beginning of period,3354,3354,15.1105
Cash at end of period,2438,2438,3330
Capital Expenditure,-996.2118,-996.2118,-520.2664
Free Cash Flow,-6585,-6585,-4418
