Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1559370,1606511,1905159,1649630
Depreciation & amortization,-,705642,654348,732046
Change in working capital,-,-587791,56648,12587
Inventory,-,-173084,97687,138951
Other working capital,-,446292,1674277,1669867
Other non-cash items,-,10623,5776,8241
Net cash provided by operating activites,-,1638566,2620537,2611030
Investments in property plant and equipment,-,-1192274,-946260,-941163
Purchases of investments,-,-1001965,-2125708,-3380676
Sales/Maturities of investments,-,1203212,2507168,2277916
Other investing activites,-,-7426,-1877821,-1665
Net cash used for investing activites,-,-999611,-2441455,-2046429
Net change in cash,-,446968,-111154,430375
Cash at beginning of period,-,5103347,5214502,4784126
Cash at end of period,-,5550316,5103347,5214502
Operating Cash Flow,-,1638566,2620537,2611030
Capital Expenditure,-,-1192274,-946260,-941163
Free Cash Flow,-,446292,1674277,1669867
