Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,521993,510357,489756
Liabilities,,,
Total Liabilities,165617,156787,157166
Stockholders' Equity,,,
Common Stock,0,0,0
Total stockholders' equity,356376,353570,332590
Total liabilities and stockholders' equity,521993,510357,489756
