Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-983.4428,-983.4428
Other investing activites,44.2478,44.2478
Net cash used for investing activites,-939.195,-939.195
Debt repayment,-6375,-6375
Common stock issued,66663,66663
Common stock repurchased,-4919,-4919
Other financing activites,-1687,-1687
Net cash used privided by (used for) financing activities,60090,60090
Net change in cash,59662,59662
Cash at beginning of period,5779,5779
Cash at end of period,67110,67110
Capital Expenditure,-983.4428,-983.4428
Free Cash Flow,-472.4522,-472.4522
