Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-22828,-22828,-20435
Acquisitions net,-2656,-2656,-
Sales/Maturities of investments,103,103,-
Net cash used for investing activites,-24267,-24267,-20435
Debt repayment,-25000,-25000,-174601
Common stock issued,-,-,2335
Common stock repurchased,-,-,-7539
Dividends Paid,-38032,-38032,-29888
Other financing activites,-277,-277,-1307
Net cash used privided by (used for) financing activities,-63309,-63309,-23000
Net change in cash,-11517,-11517,2540
Cash at beginning of period,60832,60832,58292
Cash at end of period,49315,49315,60832
Capital Expenditure,-22828,-22828,-20435
Free Cash Flow,53231,53231,25540
