Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6828,-4350,-3468,-2172,-942.483
Acquisitions net,-,-3950,-3011,-4400,4.536
Net cash used for investing activites,-13680,-8295,-6455,-6252,-906.891
Debt repayment,-1507,-600,-5056,-2550,-
Common stock issued,-,5523,7635,2252,2621
Common stock repurchased,-,-209.654,-395.312,-80.597,-161.171
Net cash used privided by (used for) financing activities,9439,4714,8184,3822,2459
Net change in cash,-697.697,-1254,3420,-1043,1533
Cash at beginning of period,3003,4631,1211,2254,721.379
Cash at end of period,2306,3377,4631,1211,2254
Capital Expenditure,-6828,-4350,-3468,-2172,-942.483
Free Cash Flow,-3285,-2023,-1777,-784.114,-962.182
