Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,38718000,41166000,39076000,40453000
Depreciation & amortization,22007000,15842000,14643000,12381000
Change in working capital,-13607000,-13382000,-7063000,-13549000
Inventory,-7007000,471000,-1962000,-2104000
Other working capital,21014000,15765000,26545000,13726000
Other non-cash items,2698000,-40000,-1723000,738000
Net cash provided by operating activites,50806000,44743000,52240000,32832000
Investments in property plant and equipment,-29792000,-28978000,-25695000,-19106000
Acquisitions net,0,-20000,-11672000,-1453000
Purchases of investments,-4175000,-10052000,-1875000,-632000
Sales/Maturities of investments,-,-,1500000,1930000
Other investing activites,-2449000,-1569000,-226000,-339000
Net cash used for investing activites,-28702000,-40128000,-37828000,-19400000
Net change in cash,2806000,-10382000,3500000,1462000
Cash at beginning of period,45889000,61444000,57944000,56481000
Cash at end of period,49078000,51062000,61444000,57944000
Operating Cash Flow,50806000,44743000,52240000,32832000
Capital Expenditure,-29792000,-28978000,-25695000,-19106000
Free Cash Flow,21014000,15765000,26545000,13726000
