Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,4949963,5511325,10088008,6317622
Total Operating Expenses,4087662,4206936,4970959,3828375
Operating Income or Loss,862301,1304389,5117049,2489247
Income Before Tax,813275,1372432,5094255,2507638
Income Tax Expense,184434,296740,1446169,702911
Income from Continuing Operations,628840,1075692,3648086,1804727
Net Income,628840,1075692,3648086,1804727
Net Income available to common shareholders,628840,1075692,3648086,1804727
Basic EPS,-,60.94,94.74,18.24
Diluted EPS,-,60.94,94.74,18.24
Basic Average Shares,-,17653,38505,98918
Diluted Average Shares,-,17653,38505,98918
