Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,9560,-9090,6280,7206,12177
Interest Expense,-,-,-,2.499,22.955
Income Before Tax,8475,-10212,4917,6115,11238
Income Tax Expense,1977,-2704,793.053,1529,3174
Income from Continuing Operations,6498,-7507,4124,4586,8064
Net Income,6498,-7507,4124,4586,8064
Net Income available to common shareholders,6498,-7507,4124,4586,8064
Basic EPS,-,-0.13,0.07,0.09,0.17
Diluted EPS,-,-0.13,0.07,0.09,0.17
Basic Average Shares,-,59847,59417,48435,46918
Diluted Average Shares,-,59847,59417,48435,46918
