Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Investments in property plant and equipment,-19279,-20332,-54031,-105959,-45174
Purchases of investments,-,-7872,-,-102365,-29
Net cash used for investing activites,-5775,-15550,-40669,-197768,-34163
Debt repayment,-206000,-181000,-105000,-87074,-109571
Dividends Paid,-110918,-104483,-88468,-80352,-68969
Other financing activites,-,-,-,-,-14
Net cash used privided by (used for) financing activities,-237280,-112483,-86468,-12426,-67485
Net change in cash,15173,10781,6714,-112357,2015
Cash at beginning of period,183207,178618,170631,283233,281572
Cash at end of period,198380,190255,178618,170631,283233
Capital Expenditure,-19279,-20332,-54031,-105959,-45174
Free Cash Flow,238949,118482,79820,-8122,58489
