Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,252178,323442,613523,5912
Depreciation & amortization,-,226186,220830,431253
Change in working capital,-,82293,375254,-477551
Inventory,-,-2662,-13965,-20120
Other working capital,-,194002,846771,155252
Other non-cash items,-,-194677,-17614,73380
Net cash provided by operating activites,-,194002,846771,155252
Acquisitions net,-,-78041,0,-6960
Purchases of investments,-,-271230,-31367,-101883
Sales/Maturities of investments,-,35680,448128,98772
Other investing activites,-,-261440,-22042,-225560
Net cash used for investing activites,-,-537081,401319,-165631
Net change in cash,-,-425411,1518904,-420257
Cash at beginning of period,-,3718830,2199926,2620183
Cash at end of period,-,3293418,3718830,2199926
Operating Cash Flow,-,194002,846771,155252
Free Cash Flow,-,194002,846771,155252
