Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,17845000,20329000,47761000,17711000
Depreciation & amortization,-,22000,20000,27000
Change in working capital,-,-378000,-50000,105000
Other working capital,6201000,5892000,6446000,6038000
Other non-cash items,-,513000,646000,563000
Net cash provided by operating activites,6427000,5941000,6485000,6077000
Investments in property plant and equipment,-226000,-49000,-39000,-39000
Acquisitions net,-7123000,-7085000,-4496000,0
Purchases of investments,-,-,-,-6799000
Sales/Maturities of investments,-,-,-,7288000
Other investing activites,-,-,-,-32000
Net cash used for investing activites,-236000,6775000,8087000,422000
Net change in cash,1435000,-426000,2610000,208000
Cash at beginning of period,1200000,3164000,535000,336000
Cash at end of period,2635000,2694000,3164000,535000
Operating Cash Flow,6427000,5941000,6485000,6077000
Capital Expenditure,-226000,-49000,-39000,-39000
Free Cash Flow,6201000,5892000,6446000,6038000
