Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,858933,1493217,721051,806763
Depreciation & amortization,-,976375,836866,767044
Change in working capital,-,-1763976,508043,1045090
Inventory,-,-604992,-664505,267633
Other working capital,-,61778,1027069,2077604
Other non-cash items,-,381540,-361070,-6713
Net cash provided by operating activites,-,1109714,2009662,2487751
Investments in property plant and equipment,-,-1047936,-982593,-410147
Purchases of investments,-,-693273,-414498,-408874
Sales/Maturities of investments,-,398815,22181,42879
Other investing activites,-,-256249,-187722,-58201
Net cash used for investing activites,-,-1575243,-887863,-834343
Net change in cash,-,-1164722,608666,1332516
Cash at beginning of period,-,5453186,4844519,3512003
Cash at end of period,-,4288463,5453186,4844519
Operating Cash Flow,-,1109714,2009662,2487751
Capital Expenditure,-,-1047936,-982593,-410147
Free Cash Flow,-,61778,1027069,2077604
