Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-9065,-9785,-1086,-,-
Acquisitions net,-12182,-6729,-9.576,-,-
Net cash used for investing activites,-20671,-14363,-757.804,-,123.47
Debt repayment,-3488,-1152,-25607,-,-109.75
Common stock issued,5158,150,28150,-,1461
Common stock repurchased,-,-,-1903,-,-8.75
Dividends Paid,-2650,-2107,-,-,-
Other financing activites,-,-,0.36,-,-8.955
Net cash used privided by (used for) financing activities,15833,4179,1193,-,1839
Net change in cash,1671,-1628,4440,-730.537,1102
Cash at beginning of period,4479,4918,480.72,1180,20.446
Cash at end of period,6150,3290,4918,480.72,1180
Capital Expenditure,-9065,-9785,-1086,-,-
Free Cash Flow,-2555,-1229,2919,-730.537,-860.252
