Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,19082000,17775000,19043000,22017000
Depreciation & amortization,-,2153000,2124000,1937000
Change in working capital,-,4558000,-3018000,-1719000
Inventory,-,2930000,-155000,-1987000
Other working capital,-,19001000,19815000,12973000
Other non-cash items,-,-1465000,1843000,-1984000
Net cash provided by operating activites,-,21129000,21703000,15327000
Investments in property plant and equipment,-,-2128000,-1888000,-2354000
Purchases of investments,-,-1000,-1253000,-1502000
Sales/Maturities of investments,-,-,1000,483000
Other investing activites,-,-3615000,-105000,-130000
Net cash used for investing activites,-,-5744000,-3245000,-3503000
Net change in cash,-,5860000,8927000,2023000
Cash at beginning of period,-,52694000,43767000,41744000
Cash at end of period,-,58555000,52694000,43767000
Operating Cash Flow,-,21129000,21703000,15327000
Capital Expenditure,-,-2128000,-1888000,-2354000
Free Cash Flow,-,19001000,19815000,12973000
