Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10504,2281,251536,287560
Depreciation & amortization,-,1448811,1111205,1034784
Change in working capital,-,155026,-81488,-145484
Inventory,-,2151,6855,2389
Other working capital,-,-3422958,-1096065,-1056314
Other non-cash items,-,73812,57336,16382
Net cash provided by operating activites,-,1625386,1105896,1442284
Investments in property plant and equipment,-,-5048344,-2201961,-2498598
Acquisitions net,-,-477050,-,-
Purchases of investments,-,-156555,-33202,-262074
Sales/Maturities of investments,-,33265,33202,262074
Other investing activites,-,39723,-69636,-50594
Net cash used for investing activites,-,-5301306,-2304431,-2560648
Net change in cash,-,-3269014,1423661,-1128277
Cash at beginning of period,-,6061719,4638057,5766334
Cash at end of period,-,2792704,6061719,4638057
Operating Cash Flow,-,1625386,1105896,1442284
Capital Expenditure,-,-5048344,-2201961,-2498598
Free Cash Flow,-,-3422958,-1096065,-1056314
