Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-3839,-4573,-9429
Net cash used for investing activites,-3839,-4573,-9429
Common stock issued,5887,7284,10143
Common stock repurchased,-291.315,-462.776,-1010
Net cash used privided by (used for) financing activities,8210,6821,9132
Net change in cash,1863,-7.344,-2238
Cash at beginning of period,2449,2882,4883
Cash at end of period,4313,2894,2882
Capital Expenditure,-3839,-4573,-9429
Free Cash Flow,-6347,-6829,-11370
