Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,40044,40044,38627,35972,34385
Interest Expense,14234,14234,9790,6405,5981
Income Before Tax,10998,10998,10824,6554,-2732
Income Tax Expense,480,480,2030,-31899,21
Income from Continuing Operations,10518,10518,8794,38453,-2753
Net Income,10518,10518,8794,38453,-2753
Net Income available to common shareholders,10412,10412,8650,37486,-2665
Basic EPS,-,-,1.23,6.15,-0.46
Diluted EPS,-,-,1.23,6.15,-0.46
Basic Average Shares,-,-,7160,6092,5789
Diluted Average Shares,-,-,7160,6092,5789
