Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-14769,-14769,-2474
Net cash used for investing activites,-14769,-14769,-2474
Debt repayment,-713.674,-713.674,-803.3437
Common stock issued,59.9486,59.9486,35836
Other financing activites,-1175,-1175,-114.7634
Net cash used privided by (used for) financing activities,1740,1740,44962
Net change in cash,-25166,-25166,31260
Cash at beginning of period,34926,34926,3409
Cash at end of period,9760,9760,34668
Capital Expenditure,-14769,-14769,-2474
Free Cash Flow,-26906,-26906,-13702
