Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,1853312000,1579136000,1448594000,1325020000
Interest Expense,13710000,10167000,7806000,8596000
Total Other Income/Expenses Net,293828000,157622000,120564000,132738000
Income Before Tax,95668000,89343000,74650000,60140000
Income Tax Expense,28874000,27018000,22664000,18405000
Income from Continuing Operations,66794000,62325000,51986000,41735000
Net Income,66473000,62074000,51895000,41621000
Net Income available to common shareholders,66473000,62074000,51895000,41621000
Basic EPS,-,142.69,119.30,95.69
Diluted EPS,-,142.67,119.29,95.68
Basic Average Shares,-,435016,434979,434978
Diluted Average Shares,-,435088,435032,435002
