Breakdown,ttm,12/31/2019,12/31/2018
Total Revenue,123300,123300,78721
Selling General and Administrative,1791,1791,4680
Total Operating Expenses,972,972,8575
Interest Expense,0,0,3
Income Before Tax,122328,122328,70146
Income Tax Expense,0,0,0
Income from Continuing Operations,122328,122328,70146
Net Income,122328,122328,70146
Net Income available to common shareholders,122328,122328,70146
Basic EPS,-,-,0.07
Diluted EPS,-,-,0.07
Basic Average Shares,-,-,989147
Diluted Average Shares,-,-,989147
