Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,255912,615880,1261194,1070828
Depreciation & amortization,-,964922,907454,583939
Stock based compensation,-,24508,18437,18233
Change in working capital,-,111919,-1470559,-612512
Inventory,-,-1142124,-150867,-16445
Other working capital,-,577630,-1085156,-670001
Other non-cash items,-,-76880,-120178,141011
Net cash provided by operating activites,-,1346083,-181406,1402465
Investments in property plant and equipment,-,-768453,-903750,-2072466
Acquisitions net,-,-,-74939,-63033
Purchases of investments,-,-186451,-70513,-133813
Sales/Maturities of investments,-,810027,46558,-
Other investing activites,-,-15601,1905,34257
Net cash used for investing activites,-,-160478,-1000739,-2235055
Net change in cash,-,5655939,-1793401,522698
Cash at beginning of period,-,1906252,3699654,3176956
Cash at end of period,-,7562192,1906252,3699654
Operating Cash Flow,-,1346083,-181406,1402465
Capital Expenditure,-,-768453,-903750,-2072466
Free Cash Flow,-,577630,-1085156,-670001
