Breakdown,ttm,12/31/2019,12/31/2018,3/31/2017
Net Income,2002000,2002000,6462000,3644000
Depreciation & amortization,3803000,3803000,3225000,2842000
Change in working capital,2264000,2264000,-1296000,1773000
Inventory,2944000,2944000,-756000,-1051000
Other working capital,2334000,2334000,924000,6169000
Other non-cash items,341000,341000,1336000,458000
Net cash provided by operating activites,8336000,8336000,9275000,8373000
Investments in property plant and equipment,-6002000,-6002000,-8351000,-2204000
Acquisitions net,-75000,-75000,-43000,-
Purchases of investments,-53000,-53000,0,-100000
Sales/Maturities of investments,49000,49000,-,5000
Other investing activites,-108000,-108000,-56000,-413000
Net cash used for investing activites,-5609000,-5609000,-8188000,-2132000
Net change in cash,195000,195000,-3424000,8710000
Cash at beginning of period,32650000,32650000,36075000,27328000
Cash at end of period,32890000,32890000,32650000,36037000
Operating Cash Flow,8336000,8336000,9275000,8373000
Capital Expenditure,-6002000,-6002000,-8351000,-2204000
Free Cash Flow,2334000,2334000,924000,6169000
