Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-712.5858,-1259
Net cash used for investing activites,-,-,-,-712.5858,-1259
Debt repayment,-,-,-446.25,-,-
Common stock issued,-,-,2030,781.0517,4662
Common stock repurchased,-5.68,-5.68,-367.61,-85.2678,-289.1974
Other financing activites,-,-,30,-,-
Net cash used privided by (used for) financing activities,179.32,179.32,2997,2912,4373
Net change in cash,-1472,-1472,1047,-1162,-1114
Cash at beginning of period,1517,1517,496.629,1701,2817
Cash at end of period,44.953,44.953,1517,496.2611,1762
Capital Expenditure,-,-,-,-712.5858,-1259
Free Cash Flow,-1651,-1651,-1950,-4074,-5487
