Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,28350000,25689000,21944000,19974000
Depreciation & amortization,-,34114000,33948000,34092000
Change in working capital,-,18918000,-80801000,-100513000
Other working capital,-,-81250000,-106529000,-155496000
Other non-cash items,-,-142701000,-69519000,-101197000
Net cash provided by operating activites,-,-79975000,-100667000,-154028000
Investments in property plant and equipment,-,-1275000,-5862000,-1468000
Acquisitions net,-,-2352000,-,-8159000
Purchases of investments,-,-9297000,-7501000,-1743000
Sales/Maturities of investments,-,4248000,3654000,5792000
Other investing activites,-,-717000,281000,681000
Net cash used for investing activites,-,-9393000,-9428000,-4897000
Net change in cash,-,15855000,3500000,-844000
Cash at beginning of period,-,54062000,50561000,51406000
Cash at end of period,-,69918000,54062000,50561000
Operating Cash Flow,-,-79975000,-100667000,-154028000
Capital Expenditure,-,-1275000,-5862000,-1468000
Free Cash Flow,-,-81250000,-106529000,-155496000
