Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3523000,4548000,4354000,3704000
Depreciation & amortization,-,1043000,754000,639000
Change in working capital,-,-391000,-1117000,-833000
Inventory,-,-1937000,-1646000,-746000
Other working capital,-,4800000,1811000,3382000
Other non-cash items,-,84000,70000,67000
Net cash provided by operating activites,-,5239000,4029000,3451000
Investments in property plant and equipment,-,-439000,-2218000,-69000
Acquisitions net,-,-374000,-81000,-
Purchases of investments,-,-2305000,-2092000,-10673000
Sales/Maturities of investments,-,12000,8017000,1008000
Other investing activites,-,18000,10000,-471000
Net cash used for investing activites,-,-3038000,3574000,-10186000
Net change in cash,-,677000,6239000,-7938000
Cash at beginning of period,-,24752000,18512000,26450000
Cash at end of period,-,25430000,24752000,18512000
Operating Cash Flow,-,5239000,4029000,3451000
Capital Expenditure,-,-439000,-2218000,-69000
Free Cash Flow,-,4800000,1811000,3382000
