Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-185,-185,-264,-81,-
Acquisitions net,-,-,-,-85900,-223
Purchases of investments,-2992,-2992,-473,-,-3602
Sales/Maturities of investments,-,-,16090,1535,-
Other investing activites,-,-,23338,392,12
Net cash used for investing activites,-3177,-3177,22610,-76221,-3813
Debt repayment,-19316,-19316,-29547,-12831,-20212
Common stock issued,-,-,-,-,18626
Common stock repurchased,-,-,-,25415,-1447
Net cash used privided by (used for) financing activities,-13458,-13458,-16537,85478,28242
Net change in cash,-1857,-1857,1821,-7328,8688
Cash at beginning of period,3376,3376,1555,8883,207
Cash at end of period,1519,1519,3376,1555,8883
Capital Expenditure,-185,-185,-264,-81,-
Free Cash Flow,14593,14593,-4516,-16666,-15741
