Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,30600757,28235907,27336086,23975302
Liabilities,,,,
Total Liabilities,27133072,25154567,24451137,21255534
Stockholders' Equity,,,,
Common Stock,309513,292716,292716,291358
Retained Earnings,1476232,1243592,1008518,850689
Accumulated other comprehensive income,-54724,-180709,-134402,-120532
Total stockholders' equity,3467685,3081340,2884949,2719768
Total liabilities and stockholders' equity,30600757,28235907,27336086,23975302
