Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-2,-25,-17,-64
Acquisitions net,-,4892,-90,-,-
Purchases of investments,-166435,-99405,-71372,-58031,-72756
Sales/Maturities of investments,182241,45321,65730,44052,49129
Other investing activites,2244,1919,-447,-919,-397
Net cash used for investing activites,17803,-47275,-6204,-14915,-24088
Common stock issued,-,-,-,8793,40621
Common stock repurchased,-56,-90,-28,-25,-123
Dividends Paid,-135074,-133073,-113590,-120980,-122409
Net cash used privided by (used for) financing activities,-135130,-133163,-113618,-112212,-81911
Net change in cash,32195,-21509,13439,-5027,23951
Cash at beginning of period,126206,131815,118376,123403,99452
Cash at end of period,158401,110306,131815,118376,123403
Capital Expenditure,-,-2,-25,-17,-64
Free Cash Flow,149520,158927,133236,122083,129886
