Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2139454,1966284,1627292,1391104
Depreciation & amortization,-,184122,160275,125157
Change in working capital,-,-27420,-368958,-59830
Other working capital,-,2027742,1144312,1875721
Other non-cash items,-,2849,160770,220200
Net cash provided by operating activites,-,2354325,1432567,2000540
Investments in property plant and equipment,-,-326583,-288255,-124819
Acquisitions net,-,-,-142499,-
Purchases of investments,-,-5595,-65538,-80469
Sales/Maturities of investments,-,-,840,-
Other investing activites,-,-1,4802,-800
Net cash used for investing activites,-,-332179,-490650,-255758
Net change in cash,-,1268514,310113,1238640
Cash at beginning of period,-,5014883,4639428,3400787
Cash at end of period,-,6334521,5014883,4639428
Operating Cash Flow,-,2354325,1432567,2000540
Capital Expenditure,-,-326583,-288255,-124819
Free Cash Flow,-,2027742,1144312,1875721
