Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1465,-5839,-1876
Other investing activites,-,-,-786.535
Net cash used for investing activites,-1203,-5765,-2557
Debt repayment,-1266,-642.172,-490.526
Common stock issued,-,-,8000
Common stock repurchased,-,-,-727.513
Other financing activites,-188.738,-190.352,-75.853
Net cash used privided by (used for) financing activities,215.945,1082,7207
Net change in cash,-149.651,-4895,2602
Cash at beginning of period,258.832,3957,1356
Cash at end of period,109.181,-937.562,3957
Capital Expenditure,-1465,-5839,-1876
Free Cash Flow,-628.173,-6051,-3924
