Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,459873,459873,430343,441265,392695
Interest Expense,56914,56914,37140,28071,38299
Income Before Tax,141111,141111,133913,135911,71315
Income Tax Expense,30679,30679,28422,41444,21648
Income from Continuing Operations,110432,110432,105491,94467,49667
Net Income,110432,110432,105491,94467,49667
Net Income available to common shareholders,110432,110432,105491,94467,49667
Basic EPS,-,-,1.03,0.94,0.50
Diluted EPS,-,-,1.02,0.92,0.49
Basic Average Shares,-,-,102074,101015,99439
Diluted Average Shares,-,-,103566,102565,100665
