Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2546000,2546000,2519000,2322000,2069000
Depreciation & amortization,515000,515000,523000,454000,426000
Change in working capital,16000,16000,367000,67000,-94000
Inventory,84000,84000,-68000,-75000,-14000
Other working capital,2564000,2564000,2558000,1934000,1959000
Other non-cash items,19000,19000,36000,-2000,-24000
Net cash provided by operating activites,3497000,3497000,3796000,3087000,2696000
Investments in property plant and equipment,-933000,-933000,-1238000,-1153000,-737000
Acquisitions net,-55000,-55000,-29000,-352000,-
Purchases of investments,-127000,-127000,-,-,-5000
Sales/Maturities of investments,-,-,-,2592000,2407000
Other investing activites,-39000,-39000,-186000,-193000,-95000
Net cash used for investing activites,-1154000,-1154000,-1453000,894000,1430000
Net change in cash,2489000,2489000,3902000,3534000,3622000
Cash at beginning of period,15869000,15869000,11967000,8432000,4810000
Cash at end of period,18358000,18358000,15869000,11967000,8432000
Operating Cash Flow,3497000,3497000,3796000,3087000,2696000
Capital Expenditure,-933000,-933000,-1238000,-1153000,-737000
Free Cash Flow,2564000,2564000,2558000,1934000,1959000
