Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,703176,711649,1238263,956043
Depreciation & amortization,-,849443,786332,759720
Change in working capital,-,-238647,-336772,-550349
Inventory,-,130540,-33164,-9389
Other working capital,-,-582533,979170,204821
Other non-cash items,-,-194540,293977,39142
Net cash provided by operating activites,-,516465,1426691,659381
Investments in property plant and equipment,-,-1098998,-447521,-454560
Acquisitions net,-,-713406,0,-
Purchases of investments,-,-173826,-436691,-661122
Sales/Maturities of investments,-,520570,1570433,777832
Other investing activites,-,115691,-511279,-59608
Net cash used for investing activites,-,-1349719,180674,3707
Net change in cash,-,-358394,376147,-567820
Cash at beginning of period,-,5575443,5199296,5767116
Cash at end of period,-,5217048,5575443,5199296
Operating Cash Flow,-,516465,1426691,659381
Capital Expenditure,-,-1098998,-447521,-454560
Free Cash Flow,-,-582533,979170,204821
