Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7391000,4046000,2883000,4506000
Depreciation & amortization,-,4438000,6229000,3743000
Change in working capital,-,-615000,-2508000,2361000
Inventory,-,-810000,-344000,706000
Other working capital,-,5842000,3743000,3673000
Other non-cash items,-,928000,376000,-55000
Net cash provided by operating activites,-,8046000,6616000,9787000
Investments in property plant and equipment,-,-2204000,-2873000,-6114000
Acquisitions net,-,-12675000,-618000,-44000
Purchases of investments,-,-1019000,-519000,-204000
Sales/Maturities of investments,-,1000000,1769000,725000
Other investing activites,-,720000,348000,-954000
Net cash used for investing activites,-,-13308000,-1882000,-4336000
Net change in cash,-,10651000,3099000,3532000
Cash at beginning of period,-,28283000,25138000,21606000
Cash at end of period,-,38934000,28283000,25138000
Operating Cash Flow,-,8046000,6616000,9787000
Capital Expenditure,-,-2204000,-2873000,-6114000
Free Cash Flow,-,5842000,3743000,3673000
