Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-,-575.38,-22.544
Acquisitions net,-,-,-,-14.712
Net cash used for investing activites,-,39.703,-575.38,-37.256
Debt repayment,-,-37.861,-3.312,-
Common stock issued,1394,4134,2821,9019
Net cash used privided by (used for) financing activities,1366,4096,2818,9119
Net change in cash,-545.384,-833.712,-6033,7642
Cash at beginning of period,873.218,1665,7681,30.527
Cash at end of period,327.834,749.162,1665,7681
Capital Expenditure,-,-,-575.38,-22.544
Free Cash Flow,-1951,-4970,-8851,-1462
