Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,90906,90906,70008,49990,43013
Interest Expense,23269,23269,13966,7229,5826
Income Before Tax,29852,29852,17370,8951,6724
Income Tax Expense,6080,6080,3279,4103,1613
Income from Continuing Operations,23772,23772,14091,4848,5111
Net Income,23772,23772,14091,4848,5111
Net Income available to common shareholders,23772,23772,14091,4848,5111
Basic EPS,-,-,1.27,0.42,0.44
Diluted EPS,-,-,1.22,0.42,0.44
Basic Average Shares,-,-,11125,11533,11533
Diluted Average Shares,-,-,11546,11533,11533
