Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1153858,1157736,1076874,986153
Liabilities,,,,
Total Liabilities,1000278,1019306,954077,869562
Stockholders' Equity,,,,
Common Stock,9042,8939,8832,9317
Retained Earnings,67581,54236,38142,26160
Accumulated other comprehensive income,-1138,-1761,-1632,-1906
Total stockholders' equity,153580,138430,122797,116591
Total liabilities and stockholders' equity,1153858,1157736,1076874,986153
