Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Net Income,814410,920146,1085995,1112821,889028
Depreciation & amortization,-,84504,46091,51486,7388
Change in working capital,-,-10451,-154028,180112,-199360
Other working capital,-,897048,1225168,1307254,853011
Other non-cash items,-,13714,488,-18769,3401
Net cash provided by operating activites,-,898114,1263118,1307254,853011
Investments in property plant and equipment,-,-1066,-37950,-,-
Acquisitions net,-,-96000,-224000,-90000,-245000
Purchases of investments,-,-4303709,-1001396,-3302184,-1403108
Sales/Maturities of investments,-,3303116,1000464,2401108,36007
Other investing activites,-,-119323,-34253,-18134,-21412
Net cash used for investing activites,-,-1216982,-297135,-1009210,-1633513
Net change in cash,-,-109504,1159410,307126,-852417
Cash at beginning of period,-,4371987,3205221,2898094,3729233
Cash at end of period,-,4262483,4371987,3205221,2898094
Operating Cash Flow,-,898114,1263118,1307254,853011
Capital Expenditure,-,-1066,-37950,-,-
Free Cash Flow,-,897048,1225168,1307254,853011
