Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1046,-544.077,-1669,-1842,-1122
Sales/Maturities of investments,-,14.283,55.577,-,-
Other investing activites,-,-,228.215,279.637,1429
Net cash used for investing activites,-747.744,-529.794,-1385,-1563,306.835
Common stock issued,1244,4187,2140,2362,29.513
Common stock repurchased,-90.724,-274.11,-199.554,-234.044,-
Net cash used privided by (used for) financing activities,1154,3913,1941,2128,29.513
Net change in cash,-514.082,1972,-314.933,-315.041,-544.112
Cash at beginning of period,1709,1053,1368,1683,2227
Cash at end of period,1195,3024,1053,1368,1683
Capital Expenditure,-1046,-544.077,-1669,-1842,-1122
Free Cash Flow,-1966,-1955,-2540,-2723,-2002
