Breakdown,ttm,7/31/2019
Net Income,934245,934245
Depreciation & amortization,103966,103966
Change in working capital,239427,239427
Other working capital,-30096966,-30096966
Other non-cash items,145899,145899
Net cash provided by operating activites,1346559,1346559
Investments in property plant and equipment,-31443525,-31443525
Purchases of investments,-50909,-50909
Net cash used for investing activites,-30320275,-30320275
Net change in cash,2383142,2383142
Cash at beginning of period,1736892,1736892
Cash at end of period,4120035,4120035
Operating Cash Flow,1346559,1346559
Capital Expenditure,-31443525,-31443525
Free Cash Flow,-30096966,-30096966
