Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,1282641,1282641,1210752,355206
Depreciation & amortization,604004,604004,539595,224646
Change in working capital,-235078,-235078,81795,953752
Other working capital,-4807856,-4807856,-29572935,1555398
Other non-cash items,167111,167111,152845,61769
Net cash provided by operating activites,1691041,1691041,1880418,1555748
Investments in property plant and equipment,-6498897,-6498897,-31453353,-
Sales/Maturities of investments,-,-,601556,-
Other investing activites,-200000,-200000,-265624,-
Net cash used for investing activites,-6582956,-6582956,-31117421,-350
Net change in cash,-269455,-269455,781284,328208
Cash at beginning of period,3273291,3273291,2198714,1256619
Cash at end of period,3003835,3003835,2979999,1584828
Operating Cash Flow,1691041,1691041,1880418,1555748
Capital Expenditure,-6498897,-6498897,-31453353,-
Free Cash Flow,-4807856,-4807856,-29572935,1555398
