Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-3385,-3385,-4108,-2845,-3693
Acquisitions net,-,-,-,-1623,-9827
Other investing activites,-11423,-11423,-1,1,-204
Net cash used for investing activites,-14788,-14788,-4098,-4467,-13728
Debt repayment,-954,-954,-1112,-882,-4617
Common stock issued,8000,8000,4000,3501,31252
Common stock repurchased,-531,-531,-215,-105,-1549
Other financing activites,-1,-1,-,-,-
Net cash used privided by (used for) financing activities,11159,11159,2825,5357,25249
Net change in cash,-4533,-4533,-3249,-2127,8555
Cash at beginning of period,5977,5977,9227,11354,2799
Cash at end of period,1444,1444,5977,9227,11354
Capital Expenditure,-3385,-3385,-4108,-2845,-3693
Free Cash Flow,-4289,-4289,-6084,-5862,-6659
