Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-564.628,-564.628,-193.553,-,-2.005
Acquisitions net,-,-,-4527,-172.311,-
Net cash used for investing activites,-564.628,-564.628,-4721,-172.311,-2.005
Debt repayment,-116.849,-116.849,-207.082,-985.6,-100
Common stock issued,750,750,4730,3725,-
Common stock repurchased,-22.737,-22.737,-172.616,-,-
Other financing activites,40,40,-,-,-
Net cash used privided by (used for) financing activities,650.414,650.414,4350,2740,419.644
Net change in cash,54.043,54.043,-1755,2738,-361.191
Cash at beginning of period,1234,1234,2989,250.926,612.117
Cash at end of period,1288,1288,1234,2989,250.926
Capital Expenditure,-564.628,-564.628,-193.553,-,-2.005
Free Cash Flow,-596.371,-596.371,-1578,170.347,-780.835
