Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-2508,-1950
Acquisitions net,-,-10511
Net cash used for investing activites,-177490,-12461
Debt repayment,-2335,-2039
Common stock issued,-,28181
Common stock repurchased,-6559,-1589
Net cash used privided by (used for) financing activities,203615,30491
Net change in cash,32548,18284
Cash at beginning of period,1021,847
Cash at end of period,33569,19131
Capital Expenditure,-2508,-1950
Free Cash Flow,3915,-1696
