Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2550550,2305423,2210894,1899454
Depreciation & amortization,-,940796,927516,1093996
Stock based compensation,-,8840,10912,20553
Change in working capital,-,-603901,-284607,161063
Inventory,-,-32376,-561684,-25916
Other working capital,-,1647061,2794473,3028701
Other non-cash items,-,-64871,-22615,-10303
Net cash provided by operating activites,-,2516608,2987012,3618119
Investments in property plant and equipment,-,-869547,-192539,-589418
Purchases of investments,-,-3800000,-,-
Sales/Maturities of investments,-,3800000,-,-
Other investing activites,-,1722,-54799,3590
Net cash used for investing activites,-,-867825,-247338,-585828
Net change in cash,-,930793,1725039,2315823
Cash at beginning of period,-,12625155,10900116,8584292
Cash at end of period,-,13555949,12625155,10900116
Operating Cash Flow,-,2516608,2987012,3618119
Capital Expenditure,-,-869547,-192539,-589418
Free Cash Flow,-,1647061,2794473,3028701
