Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-3683,-4706,-4379,-
Net cash used for investing activites,-41444,-59100,-139299,-268453
Net change in cash,-2573,574,3102,3008
Cash at beginning of period,7950,7218,4116,1108
Cash at end of period,5377,7792,7218,4116
Capital Expenditure,-3683,-4706,-4379,-
Free Cash Flow,-12148,-6826,47875,40376
