Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2475327,2288993,2169031,1999442
Liabilities,,,,
Total Liabilities,2176317,2010379,1904055,1742824
Stockholders' Equity,,,,
Common Stock,14777,14798,14793,14788
Retained Earnings,152187,136582,121353,111114
Accumulated other comprehensive income,-3205,-8076,-6213,-4155
Total stockholders' equity,299010,278614,264976,256618
Total liabilities and stockholders' equity,2475327,2288993,2169031,1999442
