Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,645753,645753,655154,544245,446869
Interest Expense,86552,86552,53992,17014,8317
Income Before Tax,230425,230425,224255,168805,154042
Income Tax Expense,43942,43942,45384,81251,52760
Income from Continuing Operations,186483,186483,178871,87554,101282
Net Income,186483,186483,178871,87554,101282
Net Income available to common shareholders,186483,186483,178871,87554,101282
Basic EPS,-,-,4.90,2.95,4.22
Diluted EPS,-,-,4.86,2.93,4.18
Basic Average Shares,-,-,36530,29686,23998
Diluted Average Shares,-,-,36776,29922,24219
