Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-,-79.561,-723.867
Purchases of investments,-,-,-66.183
Net cash used for investing activites,-234.397,-79.561,-790.05
Common stock issued,4685,1734,5006
Common stock repurchased,-306.538,-95.468,-382.409
Other financing activites,-,33.75,-
Net cash used privided by (used for) financing activities,4379,1638,4623
Net change in cash,-981.052,-2757,448.015
Cash at beginning of period,2181,3065,2617
Cash at end of period,1200,307.532,3065
Capital Expenditure,-,-79.561,-723.867
Free Cash Flow,-5836,-4396,-4109
