Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,279754,353065,124404,280494
Depreciation & amortization,-,1058994,1154887,1101919
Change in working capital,-,-34960,-294008,535458
Inventory,-,-91357,-134769,371196
Other working capital,-,922182,900885,155302
Other non-cash items,-,162818,200057,47585
Net cash provided by operating activites,-,1681805,1657235,2133987
Investments in property plant and equipment,-,-759623,-756350,-1978685
Other investing activites,-,-6846,-153564,105095
Net cash used for investing activites,-,-766469,-905311,-1865823
Net change in cash,-,174504,-274693,522200
Cash at beginning of period,-,1048964,1323658,801458
Cash at end of period,-,1223468,1048964,1323658
Operating Cash Flow,-,1681805,1657235,2133987
Capital Expenditure,-,-759623,-756350,-1978685
Free Cash Flow,-,922182,900885,155302
