Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-82000,-118000,-122000
Purchases of investments,-,-8000,-,-,-
Other investing activites,-,327000,-,-,-
Net cash used for investing activites,-136000,323000,-75000,-108000,-94000
Debt repayment,-236000,-525000,-217000,-221000,-426000
Common stock issued,-,-,1000,-,-
Common stock repurchased,-,-,-,-,-100000
Dividends Paid,-280000,-251000,-201000,-186000,-189000
Other financing activites,-,-,-7000,-14000,-7000
Net cash used privided by (used for) financing activities,-394000,-745000,-385000,-393000,-456000
Net change in cash,-185000,44000,-3000,1000,6000
Cash at beginning of period,210000,3000,6000,5000,-6000
Cash at end of period,25000,47000,3000,6000,-
Capital Expenditure,-,-,-82000,-118000,-122000
Free Cash Flow,328000,466000,375000,384000,434000
