Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-,-,-32284,-51251,-61154
Sales/Maturities of investments,-,-,37688,40765,61543
Net cash used for investing activites,-,-,5404,-10486,388.825
Common stock issued,-,-,-,15969,-
Common stock repurchased,-,-313.301,-,-,-582.133
Dividends Paid,-3755,-3722,-3605,-2560,-2320
Other financing activites,-,-,-,-287.373,-
Net cash used privided by (used for) financing activities,-2715,-4036,-3605,13122,-2902
Net change in cash,3038,1907,-62.007,692.892,-3214
Cash at beginning of period,20.817,140.63,202.637,-490.255,2724
Cash at end of period,3059,2048,140.63,202.637,-490.255
Free Cash Flow,8479,5943,-1861,-1943,-700.578
