Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-377306,-380197,170128,-377205
Depreciation & amortization,-,181722,206748,225022
Change in working capital,-,118041,173792,-282836
Inventory,-,-69056,-44628,225850
Other working capital,-,39821,388991,-185454
Other non-cash items,-,19,21243,37522
Net cash provided by operating activites,-,387784,622006,-40228
Investments in property plant and equipment,-,-347963,-233015,-145226
Purchases of investments,-,-1722,-33013,-50411
Sales/Maturities of investments,-,-,36433,7559
Other investing activites,-,-10843,-9430,-37212
Net cash used for investing activites,-,-350308,-238138,16330
Net change in cash,-,-297585,377913,-276451
Cash at beginning of period,-,2308133,1930219,2206670
Cash at end of period,-,2010547,2308133,1930219
Operating Cash Flow,-,387784,622006,-40228
Capital Expenditure,-,-347963,-233015,-145226
Free Cash Flow,-,39821,388991,-185454
