Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-579,-579,-372,-193,-2214
Net cash used for investing activites,-579,-579,-372,-193,-2214
Debt repayment,-557,-557,-329,-287,-3091
Common stock repurchased,-145,-145,-757,-194,-219
Dividends Paid,-2017,-2017,-2019,-2063,-2070
Other financing activites,523,523,-,-,-
Net cash used privided by (used for) financing activities,-2196,-2196,-3105,-2544,-2639
Net change in cash,-747,-747,777,481,-159
Cash at beginning of period,10941,10941,9965,9411,9734
Cash at end of period,10478,10478,10941,9965,9411
Capital Expenditure,-579,-579,-372,-193,-2214
Free Cash Flow,1449,1449,3882,3025,2480
