Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,422402,578979,345913,137316
Depreciation & amortization,-,114488,124908,172057
Change in working capital,-,125943,-145084,-179378
Inventory,-,1054611,107945,-256986
Other working capital,-,506286,231790,80532
Other non-cash items,-,181568,5579,-27174
Net cash provided by operating activites,-,717280,309411,270762
Investments in property plant and equipment,-,-210994,-77621,-190230
Sales/Maturities of investments,-,-,7245,8193
Other investing activites,-,-168,-2429,-9004
Net cash used for investing activites,-,-211162,-72805,-191041
Net change in cash,-,401495,192042,-62725
Cash at beginning of period,-,917779,725737,788462
Cash at end of period,-,1319274,917779,725737
Operating Cash Flow,-,717280,309411,270762
Capital Expenditure,-,-210994,-77621,-190230
Free Cash Flow,-,506286,231790,80532
