Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-4831000,-251000,-10202000,611000
Depreciation & amortization,3662000,3469000,4094000,3641000
Change in working capital,968000,-627000,-1295000,-551000
Inventory,-277000,-650000,-1529000,-1754000
Other working capital,-874000,-1874000,-8298000,-1955000
Other non-cash items,-312000,-336000,-273000,-156000
Net cash provided by operating activites,1186000,1615000,-915000,3891000
Investments in property plant and equipment,-2060000,-3489000,-7383000,-5846000
Purchases of investments,-8000,-704000,-943000,-1149000
Sales/Maturities of investments,591000,546000,987000,1252000
Other investing activites,2000,2000,2000,3000
Net cash used for investing activites,854000,-2286000,-7331000,-5686000
Net change in cash,953000,1395000,-6575000,-3560000
Cash at beginning of period,8147000,6851000,13350000,17161000
Cash at end of period,9101000,8231000,6851000,13350000
Operating Cash Flow,1186000,1615000,-915000,3891000
Capital Expenditure,-2060000,-3489000,-7383000,-5846000
Free Cash Flow,-874000,-1874000,-8298000,-1955000
