Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3657,-2568,-1705,-1455,-1412
Other investing activites,-,-,-,46.31,-99.464
Net cash used for investing activites,-3657,-2568,-1705,-1409,-1512
Debt repayment,-,-82.661,-200.237,-292.723,-57.711
Common stock issued,14862,11822,10140,-,11049
Common stock repurchased,-698.633,-546.992,-682.172,-,-579
Net cash used privided by (used for) financing activities,14074,11192,9258,-292.723,10660
Net change in cash,877.652,2278,4021,-4011,5383
Cash at beginning of period,3186,5783,1762,5772,389.255
Cash at end of period,4063,8061,5783,1762,5772
Capital Expenditure,-3657,-2568,-1705,-1455,-1412
Free Cash Flow,-13197,-8914,-5237,-3764,-5178
