Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,98236,249625,257889,248072
Depreciation & amortization,-,91810,85773,91804
Change in working capital,-,13646,125133,-80166
Inventory,-,-3040,75668,125376
Other working capital,-,143351,228472,533325
Other non-cash items,-,-43661,-7701,89654
Net cash provided by operating activites,-,302038,411409,608641
Investments in property plant and equipment,-,-158687,-182937,-75316
Purchases of investments,-,-9946,-9924,-9263
Sales/Maturities of investments,-,4785,7103,12022
Other investing activites,-,1,-,50
Net cash used for investing activites,-,-168511,-184187,-69057
Net change in cash,-,50567,-8601,460467
Cash at beginning of period,-,3410381,3418983,2958515
Cash at end of period,-,3460949,3410381,3418983
Operating Cash Flow,-,302038,411409,608641
Capital Expenditure,-,-158687,-182937,-75316
Free Cash Flow,-,143351,228472,533325
