Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10161000,10709000,10233000,2053000
Depreciation & amortization,3186000,3233000,3580000,1878000
Change in working capital,-5889000,10549000,-9745000,-4492000
Inventory,-12698000,11935000,-9373000,-5972000
Other working capital,-957000,21444000,-1731000,-5660000
Other non-cash items,-2227000,287000,415000,342000
Net cash provided by operating activites,4642000,25593000,3757000,-1572000
Investments in property plant and equipment,-5599000,-4149000,-5488000,-4088000
Purchases of investments,-,-15000,-,-308000
Sales/Maturities of investments,-,0,32000,18000
Other investing activites,487000,-1206000,-485000,76000
Net cash used for investing activites,-4304000,-5168000,-5673000,-3456000
Net change in cash,-2487000,15655000,6948000,-8557000
Cash at beginning of period,55786000,52405000,45457000,54015000
Cash at end of period,53729000,68061000,52405000,45457000
Operating Cash Flow,4642000,25593000,3757000,-1572000
Capital Expenditure,-5599000,-4149000,-5488000,-4088000
Free Cash Flow,-957000,21444000,-1731000,-5660000
