Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10063,-43024,-43433,-32802,-28592
Acquisitions net,-,-,-,-46662,-127796
Purchases of investments,-2295,-240,-,-,-
Sales/Maturities of investments,-,27935,21278,19146,-
Net cash used for investing activites,-22642,-15166,-22104,-60203,-137153
Debt repayment,-211701,-199464,-90141,-64010,-54373
Dividends Paid,-31963,-30762,-46440,-38338,-27997
Net cash used privided by (used for) financing activities,-56823,-54856,-73719,-23381,75072
Net change in cash,20845,-2976,19140,3066,-5729
Cash at beginning of period,76930,103275,83923,81693,89143
Cash at end of period,97775,100492,103275,83923,81693
Capital Expenditure,-10063,-43024,-43433,-32802,-28592
Free Cash Flow,90247,24022,71530,53848,27760
