Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,865555,954200,1243115,972434
Depreciation & amortization,-,77514,67243,90204
Change in working capital,-,-4634497,6099088,-1657285
Inventory,-,-4465798,3195076,631362
Other working capital,-,-4150206,7492130,533294
Other non-cash items,-,-103857,290278,704504
Net cash provided by operating activites,-,-3789080,7671570,604150
Investments in property plant and equipment,-,-361126,-179440,-70856
Purchases of investments,-,-,-,-483622
Other investing activites,-,-421425,-56615,1011473
Net cash used for investing activites,-,-782551,-236055,456995
Net change in cash,-,659095,68991,576346
Cash at beginning of period,-,5136369,5067378,4491031
Cash at end of period,-,5795464,5136369,5067378
Operating Cash Flow,-,-3789080,7671570,604150
Capital Expenditure,-,-361126,-179440,-70856
Free Cash Flow,-,-4150206,7492130,533294
