Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13240000,11462000,9391000,11881000
Depreciation & amortization,-,3172000,2961000,3169000
Change in working capital,-,-9473000,16277000,-10547000
Inventory,-,-9302000,1872000,-3767000
Other working capital,-,-10003000,27387000,-1846000
Other non-cash items,-,-2051000,776000,285000
Net cash provided by operating activites,-,2515000,30015000,3301000
Investments in property plant and equipment,-,-12518000,-2628000,-5147000
Acquisitions net,-,-1207000,-266000,-358000
Purchases of investments,-,-3861000,-1216000,-
Sales/Maturities of investments,-,889000,9000,497000
Other investing activites,-,-449000,150000,179000
Net cash used for investing activites,-,-17052000,-3942000,-4798000
Net change in cash,-,-20871000,18332000,-4828000
Cash at beginning of period,-,86624000,68291000,73120000
Cash at end of period,-,65753000,86624000,68291000
Operating Cash Flow,-,2515000,30015000,3301000
Capital Expenditure,-,-12518000,-2628000,-5147000
Free Cash Flow,-,-10003000,27387000,-1846000
